,loan_identifier,seller_name,original_interest_rate,original_upb,origination_date,first_payment_date,number_of_borrowers,original_dir,borrower_credit_score_at_origination,first_time_home_buyer_indicator,loan_purpose,property_type,number_of_units,occupancy_type,property_state,primary_mortgage_insurance_percent,product_type,current_interest_rate,remaining_months_to_legal_maturity,adj_remaining_months_to_maturity,maturity_date,current_loan_delinquency_status,delinquency
43883,232745000000,"WELLS FARGO BANK, N.A.",5,200000,2019-01-01,2019-03-01,1,48,817,N,P,SF,1,P,LA,25,FRM,5,350,346,2049-02-01,0,f
43888,232754000000,OTHER,5,418000,2019-02-01,2019-03-01,2,39,725,N,P,SF,1,P,WI,30,FRM,4.88,352,0,2049-02-01,X,t
43889,232755000000,OTHER,5,207000,2019-01-01,2019-04-01,2,44,733,Y,P,SF,1,P,WA,16,FRM,4.75,351,351,2049-03-01,0,f
43894,232764000000,OTHER,6,214000,2018-11-01,2019-01-01,1,45,783,Y,P,PU,1,P,NV,25,FRM,5.5,348,348,2048-12-01,0,f
43895,232766000000,OTHER,5,225000,2019-02-01,2019-04-01,1,33,747,Y,P,SF,1,P,WI,25,FRM,4.56,351,349,2049-03-01,0,f
43898,232775000000,OTHER,5,134000,2019-01-01,2019-03-01,1,43,791,Y,P,SF,1,P,OH,25,FRM,4.68,350,349,2049-02-01,0,f
43901,232781000000,"WELLS FARGO BANK, N.A.",4,300000,2019-01-01,2019-03-01,2,43,705,Y,P,SF,1,P,NV,25,FRM,4.38,350,350,2049-02-01,0,f
43904,232783000000,OTHER,5,202000,2019-02-01,2019-04-01,2,34,634,Y,P,MH,1,P,OR,12,FRM,4.88,351,351,2049-03-01,0,f
43905,232785000000,OTHER,5,239000,2019-03-01,2019-05-01,1,44,753,N,P,PU,1,P,VA,25,FRM,4.75,352,351,2049-04-01,1,t
43907,232790000000,"WELLS FARGO BANK, N.A.",5,336000,2018-12-01,2019-02-01,1,38,796,N,P,PU,1,P,DE,30,FRM,4.99,349,349,2049-01-01,0,f
43909,232800000000,"WELLS FARGO BANK, N.A.",5,337000,2019-01-01,2019-03-01,2,30,802,N,P,SF,1,P,CA,30,FRM,5.38,350,350,2049-02-01,0,f
43910,232802000000,"WELLS FARGO BANK, N.A.",5,118000,2018-11-01,2019-01-01,1,31,801,N,R,SF,1,P,KS,12,FRM,4.88,348,348,2048-12-01,0,f
43911,232807000000,OTHER,5,121000,2019-02-01,2019-04-01,1,31,761,Y,P,SF,1,P,AR,30,FRM,4.88,351,350,2049-03-01,0,f
43912,232808000000,PENNYMAC CORP.,5,175000,2019-02-01,2019-04-01,2,35,768,Y,P,SF,1,P,NM,35,FRM,4.75,351,351,2049-03-01,0,f
43920,232826000000,OTHER,5,561000,2019-01-01,2019-03-01,1,49,792,Y,P,PU,1,P,CA,30,FRM,4.75,351,0,2049-02-01,X,t
43924,232837000000,OTHER,6,34000,2019-03-01,2019-05-01,2,45,794,N,P,SF,1,I,MD,12,FRM,6,352,352,2049-04-01,0,f
43926,232845000000,OTHER,4,111000,2019-02-01,2019-04-01,1,34,789,N,R,SF,1,P,PA,12,FRM,4.38,351,341,2049-03-01,0,f
43933,232858000000,OTHER,4,348000,2019-02-01,2019-04-01,2,50,805,N,P,SF,1,P,SC,25,FRM,3.75,111,0,2029-03-01,X,t
43935,232864000000,OTHER,5,155000,2018-12-01,2019-02-01,2,25,757,Y,P,SF,1,P,WI,30,FRM,5.38,349,332,2049-01-01,0,f
43936,232866000000,"WELLS FARGO BANK, N.A.",5,333000,2018-10-01,2018-12-01,1,50,805,N,P,SF,1,P,MN,25,FRM,4.75,347,346,2048-11-01,0,f
43938,232871000000,OTHER,5,303000,2019-01-01,2019-03-01,2,29,770,N,P,SF,1,P,MA,25,FRM,4.99,353,0,2049-02-01,X,t
43940,232874000000,OTHER,6,181000,2018-11-01,2019-01-01,1,34,770,Y,P,SF,1,P,GA,25,FRM,5.5,348,347,2048-12-01,0,f
43941,232877000000,U.S. BANK N.A.,6,170000,2018-11-01,2019-01-01,1,38,721,Y,P,SF,1,P,OH,18,FRM,5.63,348,348,2048-12-01,0,f
43943,232882000000,QUICKEN LOANS INC.,5,232000,2018-12-01,2019-02-01,1,25,763,N,P,SF,2,P,AK,12,FRM,4.99,349,349,2049-01-01,0,f
43944,232887000000,OTHER,5,230000,2018-11-01,2019-01-01,2,32,783,N,P,PU,1,P,OH,30,FRM,4.88,348,249,2048-12-01,0,f
43946,232888000000,"NATIONSTAR MORTGAGE, LLC",5,181000,2018-12-01,2019-02-01,1,45,729,N,P,SF,1,P,NY,30,FRM,5.13,349,349,2049-01-01,0,f
43947,232889000000,"WELLS FARGO BANK, N.A.",5,215000,2019-01-01,2019-03-01,2,36,761,N,P,SF,1,P,NC,12,FRM,4.63,350,349,2049-02-01,0,f
43949,232895000000,"MOVEMENT MORTGAGE, LLC",5,180000,2019-01-01,2019-03-01,3,49,758,N,P,SF,1,P,PA,25,FRM,4.75,350,350,2049-02-01,0,f
43950,232895000000,"WELLS FARGO BANK, N.A.",5,361000,2018-11-01,2019-01-01,2,37,734,N,P,PU,1,P,PA,30,FRM,5.13,348,347,2048-12-01,0,f
43952,232901000000,OTHER,5,409000,2018-10-01,2018-12-01,3,46,732,N,P,PU,1,S,CA,25,FRM,5.13,347,347,2048-11-01,0,f
43953,232902000000,PENNYMAC CORP.,6,124000,2018-12-01,2019-02-01,1,41,758,N,P,SF,1,P,MO,25,FRM,5.63,349,349,2049-01-01,0,f
43955,232908000000,PENNYMAC CORP.,5,236000,2019-02-01,2019-04-01,1,50,728,N,P,PU,1,P,NC,25,FRM,4.63,351,351,2049-03-01,0,f
43964,232941000000,"WELLS FARGO BANK, N.A.",5,109000,2018-12-01,2019-02-01,1,36,684,Y,P,CO,1,P,OH,25,FRM,4.88,349,349,2049-01-01,0,f
43965,232943000000,OTHER,5,114000,2018-12-01,2019-02-01,1,41,711,Y,P,SF,1,P,IA,16,FRM,4.75,349,349,2049-01-01,0,f
43969,232956000000,OTHER,5,391000,2018-12-01,2019-02-01,1,49,759,N,P,PU,1,P,CA,12,FRM,4.88,352,0,2049-01-01,X,t
43971,232960000000,OTHER,4,271000,2019-02-01,2019-04-01,1,24,753,Y,P,PU,1,P,OR,30,FRM,4.38,351,351,2049-03-01,0,f
43976,232975000000,OTHER,5,72000,2019-01-01,2019-03-01,1,37,774,Y,P,SF,1,P,ME,25,FRM,4.63,350,348,2049-02-01,0,f
43981,232980000000,"LAKEVIEW LOAN SERVICING, LLC",6,376000,2018-11-01,2019-01-01,2,36,672,Y,P,SF,1,P,CA,18,FRM,5.75,348,348,2048-12-01,0,f
43985,232986000000,OTHER,5,211000,2018-12-01,2019-02-01,1,37,817,N,P,CO,1,P,PA,25,FRM,4.63,349,349,2049-01-01,0,f
43986,232987000000,"LAKEVIEW LOAN SERVICING, LLC",5,361000,2018-11-01,2019-01-01,2,35,760,Y,P,PU,1,P,TX,35,FRM,4.99,348,343,2048-12-01,0,f
43993,232992000000,OTHER,5,287000,2018-10-01,2018-12-01,1,42,786,N,P,SF,1,P,IN,30,FRM,4.63,347,346,2048-11-01,0,f
43994,232993000000,"WELLS FARGO BANK, N.A.",5,279000,2018-12-01,2019-02-01,2,38,712,N,P,SF,1,P,VA,30,FRM,5,349,349,2049-01-01,0,f
43996,233002000000,OTHER,5,175000,2019-02-01,2019-04-01,1,39,701,Y,P,PU,1,P,GA,25,FRM,4.88,351,350,2049-03-01,0,f
44001,233038000000,PENNYMAC CORP.,4,722000,2019-02-01,2019-04-01,1,44,796,N,P,SF,1,P,HI,30,FRM,4.38,354,0,2049-03-01,X,t
44002,233040000000,QUICKEN LOANS INC.,5,300000,2018-12-01,2019-02-01,1,38,795,Y,P,SF,1,P,CO,25,FRM,5.13,355,0,2049-01-01,X,t
44004,233047000000,"WELLS FARGO BANK, N.A.",6,208000,2018-11-01,2019-01-01,2,45,649,Y,P,SF,1,P,NJ,25,FRM,5.63,348,348,2048-12-01,0,f
44007,233049000000,"LAKEVIEW LOAN SERVICING, LLC",5,331000,2018-12-01,2019-02-01,2,43,784,Y,P,PU,1,P,CA,18,FRM,5,349,348,2049-01-01,0,f
44008,233052000000,"WELLS FARGO BANK, N.A.",5,338000,2018-12-01,2019-02-01,2,38,803,N,P,PU,1,S,FL,25,FRM,4.63,355,0,2049-01-01,X,t
44009,233055000000,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,6,204000,2019-01-01,2019-03-01,1,31,802,Y,P,CO,1,P,AZ,25,FRM,5.63,350,350,2049-02-01,0,f
44012,233064000000,OTHER,5,422000,2018-12-01,2019-02-01,2,44,705,N,P,PU,1,P,GA,12,FRM,4.99,349,348,2049-01-01,0,f
44014,233071000000,QUICKEN LOANS INC.,5,536000,2018-12-01,2019-02-01,2,33,779,Y,P,SF,1,P,CA,25,FRM,5.13,353,0,2049-01-01,X,t
44017,233082000000,"AMERIHOME MORTGAGE COMPANY, LLC",5,317000,2018-12-01,2019-02-01,1,43,681,N,P,PU,1,P,MS,30,FRM,5.38,349,350,2049-01-01,1,t
44019,233096000000,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",5,300000,2018-11-01,2019-01-01,2,23,751,Y,P,SF,1,P,AZ,30,FRM,4.63,349,0,2048-12-01,X,t
44021,233104000000,OTHER,5,290000,2018-12-01,2019-02-01,2,44,792,N,P,PU,1,P,MD,30,FRM,4.75,354,0,2049-01-01,X,t
44022,233105000000,OTHER,5,199000,2018-10-01,2018-12-01,1,42,710,Y,P,PU,1,P,TX,25,FRM,4.99,347,347,2048-11-01,0,f
44031,233136000000,"WELLS FARGO BANK, N.A.",5,99000,2018-11-01,2019-01-01,1,38,770,N,P,SF,1,S,PA,25,FRM,5.13,348,348,2048-12-01,0,f
44032,233142000000,OTHER,5,171000,2018-12-01,2019-02-01,2,29,755,Y,P,PU,1,P,SC,35,FRM,4.88,349,348,2049-01-01,0,f
44034,233147000000,"WELLS FARGO BANK, N.A.",5,337000,2018-12-01,2019-02-01,2,31,778,N,P,SF,1,P,AR,25,FRM,4.63,349,343,2049-01-01,0,f
44035,233149000000,OTHER,5,375000,2018-11-01,2019-01-01,1,49,755,Y,P,CO,1,P,CA,35,FRM,4.99,348,348,2048-12-01,0,f
44036,233160000000,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,5,434000,2018-12-01,2019-02-01,2,49,716,N,P,PU,1,P,GA,30,FRM,4.88,349,349,2049-01-01,0,f
44038,233170000000,OTHER,4,535000,2019-02-01,2019-04-01,2,44,726,N,P,PU,1,P,WA,25,FRM,4.25,351,351,2049-03-01,0,f
44040,233181000000,PENNYMAC CORP.,5,303000,2019-02-01,2019-04-01,1,40,647,Y,P,PU,1,P,VA,25,FRM,5.13,351,351,2049-03-01,0,f
44042,233187000000,"WELLS FARGO BANK, N.A.",6,316000,2018-11-01,2019-01-01,1,44,702,Y,P,PU,1,P,TX,30,FRM,5.5,348,348,2048-12-01,0,f
44044,233192000000,OTHER,5,146000,2019-02-01,2019-04-01,1,45,734,Y,P,PU,1,P,FL,25,FRM,4.88,351,350,2049-03-01,0,f
44050,233215000000,QUICKEN LOANS INC.,5,137000,2018-12-01,2019-02-01,2,25,740,Y,P,SF,1,P,IN,35,FRM,5.38,349,349,2049-01-01,0,f
44053,233237000000,"UNITED SHORE FINANCIAL SERVICES, LLC DBA UNITED WHOLESALE MORTGAGE",4,404000,2019-01-01,2019-03-01,1,47,742,N,R,PU,1,P,CO,25,FRM,3.88,352,0,2049-02-01,X,t
44055,233245000000,OTHER,5,238000,2018-09-01,2018-11-01,2,37,778,Y,P,SF,1,P,KS,25,FRM,4.75,346,346,2048-10-01,0,f
44056,233245000000,PENNYMAC CORP.,5,416000,2019-02-01,2019-04-01,1,49,782,N,P,SF,1,P,CO,25,FRM,5.25,351,351,2049-03-01,0,f
44057,233246000000,OTHER,4,361000,2019-01-01,2019-03-01,1,41,799,N,P,PU,1,P,MO,30,FRM,4.13,350,350,2049-02-01,0,f
44058,233251000000,"EAGLE HOME MORTGAGE, LLC",5,324000,2018-12-01,2019-02-01,1,49,718,Y,P,PU,1,P,TX,35,FRM,4.99,349,349,2049-01-01,0,f
44062,233269000000,OTHER,5,130000,2018-11-01,2019-01-01,1,49,759,N,P,SF,1,P,MI,25,FRM,4.88,351,0,2048-12-01,X,t
44064,233280000000,U.S. BANK N.A.,6,141000,2019-01-01,2019-02-01,2,49,723,Y,P,SF,1,P,AZ,18,FRM,6.38,349,345,2049-01-01,0,f
44067,233296000000,"WELLS FARGO BANK, N.A.",5,446000,2018-12-01,2019-02-01,1,46,754,N,P,SF,1,P,AL,25,FRM,5,349,349,2049-01-01,0,f
44068,233303000000,"NATIONSTAR MORTGAGE, LLC",5,450000,2018-12-01,2019-02-01,2,46,707,N,P,PU,1,P,TX,30,FRM,4.88,349,349,2049-01-01,0,f
44071,233306000000,"UNITED SHORE FINANCIAL SERVICES, LLC DBA UNITED WHOLESALE MORTGAGE",5,145000,2019-01-01,2019-03-01,1,39,795,N,P,SF,1,S,FL,12,FRM,4.5,350,349,2049-02-01,0,f
44072,233309000000,U.S. BANK N.A.,5,281000,2019-01-01,2019-03-01,1,39,694,N,P,PU,1,P,IA,12,FRM,4.63,350,349,2049-02-01,0,f
44076,233321000000,"UNITED SHORE FINANCIAL SERVICES, LLC DBA UNITED WHOLESALE MORTGAGE",5,121000,2019-03-01,2019-05-01,1,47,738,N,P,PU,1,P,CA,30,FRM,5.25,352,352,2049-04-01,0,f
44080,233329000000,OTHER,5,308000,2019-01-01,2019-03-01,1,44,693,Y,P,CO,1,P,MA,18,FRM,5.25,350,349,2049-02-01,0,f
44084,233337000000,U.S. BANK N.A.,5,112000,2018-07-01,2018-09-01,1,41,685,Y,P,PU,1,P,IL,16,FRM,5.38,344,338,2048-08-01,0,f
44086,233340000000,FREEDOM MORTGAGE CORP.,5,299000,2018-12-01,2019-02-01,1,49,752,N,P,CO,1,P,TX,30,FRM,4.88,349,349,2049-01-01,0,f
44089,233344000000,OTHER,5,314000,2019-02-01,2019-04-01,1,35,720,N,R,SF,1,P,MS,30,FRM,4.88,351,351,2049-03-01,0,f
44091,233358000000,OTHER,5,349000,2019-02-01,2019-04-01,1,46,721,N,P,SF,1,P,UT,25,FRM,4.75,351,351,2049-03-01,0,f
44092,233362000000,"UNITED SHORE FINANCIAL SERVICES, LLC DBA UNITED WHOLESALE MORTGAGE",5,337000,2019-02-01,2019-04-01,1,47,750,N,R,PU,1,P,IN,25,FRM,4.5,351,346,2049-03-01,0,f
44097,233376000000,"WELLS FARGO BANK, N.A.",5,472000,2018-10-01,2018-12-01,1,33,782,Y,P,PU,1,P,CA,25,FRM,4.88,348,0,2048-11-01,X,t
44099,233388000000,U.S. BANK N.A.,6,80000,2018-10-01,2018-12-01,1,44,719,Y,P,SF,2,P,IL,16,FRM,5.75,347,318,2048-11-01,0,f
44100,233389000000,OTHER,5,273000,2018-12-01,2019-02-01,2,48,655,Y,P,SF,1,P,WA,18,FRM,5.25,349,348,2049-01-01,0,f
44101,233392000000,OTHER,5,125000,2018-10-01,2018-12-01,1,45,757,Y,P,SF,1,P,LA,18,FRM,4.75,347,347,2048-11-01,0,f
44103,233397000000,OTHER,5,371000,2018-12-01,2019-02-01,2,28,756,Y,P,PU,1,P,UT,12,FRM,4.88,356,0,2049-01-01,X,t
44104,233398000000,OTHER,5,364000,2019-01-01,2019-03-01,1,39,743,Y,P,SF,1,P,NJ,25,FRM,4.75,350,349,2049-02-01,0,f
44105,233403000000,OTHER,5,379000,2019-01-01,2019-03-01,2,35,788,N,P,SF,1,P,CO,25,FRM,4.5,350,350,2049-02-01,0,f
44107,233408000000,"WELLS FARGO BANK, N.A.",5,155000,2019-01-01,2019-03-01,1,47,786,N,P,CO,1,P,GA,25,FRM,4.88,350,349,2049-02-01,0,f
44108,233419000000,"WELLS FARGO BANK, N.A.",5,199000,2018-12-01,2019-02-01,2,31,809,Y,P,SF,1,P,NH,25,FRM,4.75,349,348,2049-01-01,0,f
44112,233428000000,OTHER,6,174000,2018-11-01,2019-01-01,1,43,673,Y,P,SF,1,P,WA,18,FRM,5.88,348,343,2048-12-01,0,f
44113,233429000000,"LAKEVIEW LOAN SERVICING, LLC",5,451000,2018-11-01,2019-01-01,1,42,673,Y,P,SF,1,P,CA,16,FRM,5,348,348,2048-12-01,0,f
44116,233443000000,OTHER,5,369000,2019-01-01,2019-03-01,1,47,738,Y,P,PU,1,P,ID,18,FRM,4.63,350,342,2049-02-01,0,f
44120,233454000000,PENNYMAC CORP.,5,240000,2019-01-01,2019-03-01,2,45,743,N,P,SF,1,P,AR,25,FRM,4.88,350,347,2049-02-01,0,f
44123,233456000000,"WELLS FARGO BANK, N.A.",5,228000,2018-11-01,2019-01-01,1,43,766,Y,P,PU,1,P,CO,25,FRM,4.88,348,348,2048-12-01,0,f
44129,233472000000,"WELLS FARGO BANK, N.A.",5,234000,2019-01-01,2019-03-01,2,37,709,Y,P,PU,1,P,VA,25,FRM,4.5,350,350,2049-02-01,0,f
44130,233480000000,OTHER,5,225000,2019-03-01,2019-05-01,2,41,730,N,P,SF,1,P,MI,12,FRM,4.63,352,352,2049-04-01,0,f
44131,233482000000,PENNYMAC CORP.,5,335000,2018-12-01,2019-02-01,1,43,750,N,P,PU,1,P,FL,30,FRM,4.75,351,0,2049-01-01,X,t
44132,233484000000,"LAKEVIEW LOAN SERVICING, LLC",6,194000,2019-01-01,2019-03-01,1,44,693,Y,P,PU,1,P,TX,18,FRM,5.75,350,350,2049-02-01,0,f
44133,233484000000,QUICKEN LOANS INC.,5,378000,2018-12-01,2019-02-01,1,45,764,Y,P,SF,1,P,CA,30,FRM,4.88,354,0,2049-01-01,X,t
44135,233487000000,"NATIONSTAR MORTGAGE, LLC",5,160000,2018-12-01,2019-02-01,1,34,785,Y,P,PU,1,P,GA,35,FRM,5.13,349,348,2049-01-01,0,f
44138,233491000000,FREEDOM MORTGAGE CORP.,5,369000,2019-02-01,2019-04-01,2,47,720,Y,P,SF,1,P,NY,25,FRM,5.13,351,351,2049-03-01,0,f
44142,233502000000,PENNYMAC CORP.,5,568000,2019-01-01,2019-03-01,2,46,765,N,R,PU,1,P,UT,12,FRM,4.88,353,0,2049-02-01,X,t
44151,233556000000,OTHER,5,95000,2019-02-01,2019-05-01,1,44,695,N,R,SF,1,P,IL,25,FRM,5.25,292,292,2044-04-01,0,f
44155,233561000000,"WELLS FARGO BANK, N.A.",5,175000,2019-02-01,2019-04-01,1,38,732,Y,P,SF,1,P,AZ,25,FRM,5.13,351,351,2049-03-01,0,f
44158,233570000000,PENNYMAC CORP.,5,254000,2019-01-01,2019-03-01,1,39,796,N,P,SF,1,P,PA,25,FRM,4.99,350,348,2049-02-01,0,f
44161,233592000000,OTHER,5,251000,2019-01-01,2019-04-01,1,42,747,N,P,PU,1,P,AZ,25,FRM,4.5,351,351,2049-03-01,0,f
44164,233617000000,OTHER,5,94000,2018-12-01,2019-02-01,2,37,819,N,R,MH,1,P,GA,30,FRM,4.88,177,0,2034-01-01,X,t
44168,233619000000,PENNYMAC CORP.,5,189000,2018-12-01,2019-02-01,1,31,807,N,P,PU,1,P,NJ,12,FRM,4.88,349,348,2049-01-01,0,f
44172,233646000000,"WELLS FARGO BANK, N.A.",5,95000,2019-02-01,2019-04-01,1,36,782,Y,P,SF,1,P,OH,30,FRM,4.5,351,351,2049-03-01,0,f
44175,233660000000,"WELLS FARGO BANK, N.A.",5,154000,2018-12-01,2019-02-01,2,47,685,N,P,SF,1,S,ID,25,FRM,5.25,349,348,2049-01-01,0,f
44176,233660000000,PENNYMAC CORP.,5,223000,2018-12-01,2019-02-01,1,47,712,Y,P,PU,1,P,NC,25,FRM,4.88,349,347,2049-01-01,0,f
44177,233662000000,U.S. BANK N.A.,5,422000,2018-12-01,2019-02-01,1,39,799,N,P,PU,1,P,OR,25,FRM,4.88,349,349,2049-01-01,0,f
44178,233676000000,"WELLS FARGO BANK, N.A.",5,176000,2019-01-01,2019-03-01,1,44,664,N,P,SF,1,P,GA,25,FRM,4.88,350,346,2049-02-01,0,f
44180,233678000000,QUICKEN LOANS INC.,5,108000,2019-01-01,2019-03-01,1,47,705,Y,P,CO,1,P,MI,25,FRM,5.25,350,350,2049-02-01,0,f
44181,233687000000,OTHER,6,274000,2018-12-01,2019-02-01,2,31,669,Y,P,SF,1,P,WA,18,FRM,6.25,349,348,2049-01-01,0,f
44188,233708000000,"LAKEVIEW LOAN SERVICING, LLC",5,269000,2019-01-01,2019-03-01,2,35,799,N,P,SF,1,P,UT,30,FRM,4.88,350,347,2049-02-01,0,f
44190,233715000000,OTHER,5,330000,2019-01-01,2019-03-01,2,33,807,Y,P,SF,1,P,MI,35,FRM,4.88,350,350,2049-02-01,0,f
44191,233715000000,OTHER,4,85000,2019-03-01,2019-05-01,2,34,807,N,P,SF,1,P,PA,30,FRM,4.38,352,351,2049-04-01,0,f
44196,233726000000,OTHER,5,141000,2018-12-01,2019-02-01,1,36,762,Y,P,SF,1,P,MN,30,FRM,4.65,349,349,2049-01-01,0,f
44202,233746000000,"WELLS FARGO BANK, N.A.",6,399000,2018-11-01,2019-01-01,2,41,792,N,P,PU,1,P,TX,30,FRM,5.63,353,0,2048-12-01,X,t
44203,233748000000,QUICKEN LOANS INC.,5,195000,2019-01-01,2019-03-01,1,48,703,N,P,CO,1,P,MO,12,FRM,4.88,350,346,2049-02-01,0,f
44208,233766000000,"WELLS FARGO BANK, N.A.",5,262000,2018-12-01,2019-02-01,2,47,790,Y,P,PU,1,P,FL,30,FRM,5.25,352,0,2049-01-01,X,t
44211,233776000000,QUICKEN LOANS INC.,6,51000,2018-12-01,2019-02-01,1,11,706,N,P,SF,1,P,CO,25,FRM,5.63,349,321,2049-01-01,0,f
44214,233789000000,TRUIST BANK (FORMERLY SUNTRUST BANK),5,157000,2018-12-01,2019-02-01,1,29,773,N,P,SF,1,P,CO,25,FRM,5,351,0,2049-01-01,X,t
44217,233795000000,OTHER,5,79000,2018-11-01,2019-01-01,1,16,711,N,P,SF,1,P,OH,30,FRM,4.88,348,345,2048-12-01,0,f
44221,233815000000,OTHER,5,442000,2019-01-01,2019-03-01,2,40,775,Y,P,SF,1,P,WA,30,FRM,4.63,350,350,2049-02-01,0,f
44225,233835000000,OTHER,5,450000,2019-01-01,2019-03-01,1,49,691,Y,P,SF,1,P,NJ,25,FRM,4.88,355,0,2049-02-01,X,t
44226,233836000000,PENNYMAC CORP.,4,184000,2019-02-01,2019-04-01,1,38,740,N,P,SF,1,P,MI,25,FRM,4.38,351,351,2049-03-01,0,f
44236,233849000000,TRUIST BANK (FORMERLY SUNTRUST BANK),5,300000,2018-12-01,2019-02-01,1,44,764,Y,P,PU,1,P,SC,25,FRM,5.13,354,0,2049-01-01,X,t
44237,233857000000,PENNYMAC CORP.,5,86000,2019-01-01,2019-03-01,1,45,754,Y,P,SF,1,P,IN,25,FRM,4.88,350,350,2049-02-01,0,f
44239,233861000000,FREEDOM MORTGAGE CORP.,5,641000,2018-11-01,2019-01-01,1,49,813,N,P,SF,1,P,NJ,30,FRM,4.88,348,348,2048-12-01,0,f
44242,233879000000,PENNYMAC CORP.,5,373000,2018-12-01,2019-02-01,1,49,773,Y,P,PU,1,P,MD,12,FRM,4.75,349,349,2049-01-01,0,f
44244,233889000000,"WELLS FARGO BANK, N.A.",5,399000,2018-12-01,2019-02-01,2,36,761,Y,P,SF,1,P,NJ,30,FRM,4.63,349,330,2049-01-01,0,f
44250,233900000000,OTHER,5,160000,2019-02-01,2019-03-01,1,31,802,Y,P,SF,1,P,MO,25,FRM,4.88,350,332,2049-02-01,0,f
44254,233914000000,"WELLS FARGO BANK, N.A.",5,192000,2019-01-01,2019-03-01,2,40,757,N,P,PU,1,P,IN,25,FRM,4.75,350,0,2049-02-01,X,t
44256,233916000000,OTHER,6,290000,2019-01-01,2019-03-01,2,48,637,N,P,SF,1,P,NC,30,FRM,5.75,350,350,2049-02-01,0,f
44261,233932000000,OTHER,5,169000,2019-03-01,2019-05-01,2,44,741,Y,P,SF,1,P,CA,25,FRM,4.75,352,351,2049-04-01,0,f
44264,233939000000,OTHER,5,195000,2019-03-01,2019-05-01,2,25,733,N,P,SF,1,P,TX,30,FRM,4.63,352,351,2049-04-01,0,f
44265,233940000000,OTHER,5,109000,2019-02-01,2019-04-01,1,37,810,Y,P,CO,1,P,CA,25,FRM,4.5,351,351,2049-03-01,0,f
44267,233948000000,"LAKEVIEW LOAN SERVICING, LLC",6,230000,2018-12-01,2019-02-01,3,28,661,Y,P,SF,1,P,CO,12,FRM,5.75,349,349,2049-01-01,0,f
44268,233948000000,OTHER,5,484000,2018-12-01,2019-02-01,1,30,730,N,R,SF,1,P,CA,6,FRM,4.63,233,0,2039-01-01,X,t
44269,233950000000,OTHER,5,201000,2019-02-01,2019-04-01,1,45,788,Y,P,SF,1,P,TX,35,FRM,4.63,351,351,2049-03-01,0,f
44281,233967000000,PENNYMAC CORP.,5,295000,2019-01-01,2019-03-01,1,36,756,Y,P,SF,1,P,CA,30,FRM,4.75,350,350,2049-02-01,0,f
44285,233979000000,"WELLS FARGO BANK, N.A.",5,394000,2018-12-01,2019-02-01,1,36,675,N,P,SF,1,P,MA,25,FRM,5.38,349,346,2049-01-01,0,f
44286,233979000000,PENNYMAC CORP.,5,91000,2019-02-01,2019-04-01,1,33,788,Y,P,CO,1,P,NJ,30,FRM,4.88,351,350,2049-03-01,0,f
44288,233987000000,OTHER,5,359000,2019-02-01,2019-04-01,2,38,770,N,P,CO,1,P,WA,25,FRM,4.63,351,351,2049-03-01,0,f
44289,233992000000,OTHER,5,190000,2018-11-01,2019-01-01,1,38,811,Y,P,SF,1,P,NH,30,FRM,4.75,348,0,2048-12-01,X,t
44290,234000000000,OTHER,6,370000,2018-12-01,2019-02-01,2,48,753,Y,P,PU,1,P,CO,18,FRM,5.5,349,349,2049-01-01,0,f
44291,234004000000,OTHER,5,456000,2019-03-01,2019-05-01,2,33,784,N,R,SF,1,P,IL,25,FRM,4.5,352,352,2049-04-01,0,f
44295,234016000000,"WELLS FARGO BANK, N.A.",5,234000,2018-12-01,2019-02-01,2,37,681,N,P,SF,1,P,TN,25,FRM,5.25,349,348,2049-01-01,0,f
44297,234027000000,OTHER,6,216000,2018-12-01,2019-02-01,1,44,745,Y,P,SF,1,P,WA,18,FRM,6,349,348,2049-01-01,0,f
44299,234030000000,PENNYMAC CORP.,5,194000,2019-01-01,2019-03-01,1,50,666,N,P,SF,1,P,IL,30,FRM,5.25,354,0,2049-02-01,X,t
44300,234037000000,"LAKEVIEW LOAN SERVICING, LLC",5,225000,2018-12-01,2019-02-01,1,42,803,N,P,PU,1,S,FL,25,FRM,5.38,357,0,2049-01-01,X,t
44301,234040000000,OTHER,6,397000,2018-12-01,2019-02-01,2,41,744,Y,P,SF,1,P,OR,30,FRM,5.63,349,349,2049-01-01,0,f
44303,234045000000,QUICKEN LOANS INC.,5,176000,2019-01-01,2019-03-01,1,42,691,N,P,SF,1,P,LA,30,FRM,5.19,350,350,2049-02-01,0,f
44305,234046000000,OTHER,5,194000,2019-03-01,2019-05-01,1,49,802,N,P,SF,1,P,TX,25,FRM,4.63,352,113,2049-04-01,0,f
44306,234049000000,OTHER,5,163000,2019-02-01,2019-04-01,2,29,788,Y,P,SF,1,P,WI,25,FRM,4.99,351,349,2049-03-01,0,f
44314,234079000000,PENNYMAC CORP.,5,209000,2019-02-01,2019-04-01,1,43,711,Y,P,SF,1,P,OH,25,FRM,4.88,351,318,2049-03-01,0,f
44319,234098000000,OTHER,6,169000,2019-01-01,2019-03-01,1,31,746,Y,P,SF,1,P,NC,18,FRM,5.5,350,350,2049-02-01,0,f
